# all_ap,0.151536
# all_ap_50,0.298397
# all_ap_25,0.464295
# all_rc,0.338295
# all_rc_50,0.507667
# all_rc_25,0.638914
scene_id,AP,AP_50%,AP_25%
20_points_GTv3_95,0.173,0.303,0.513
20_points_GTv3_87,0.171,0.351,0.435
25_points_GTv3_78,0.169,0.438,0.438
25_points_GTv3_14,0.166,0.309,0.517
25_points_GTv3_91,0.162,0.250,0.441
25_points_GTv3_12,0.160,0.250,0.371
25_points_GTv3_80,0.160,0.251,0.448
20_points_GTv3_89,0.159,0.476,0.500
25_points_GTv3_03,0.158,0.275,0.416
25_points_GTv3_52,0.156,0.291,0.344
20_points_GTv3_84,0.135,0.181,0.492
25_points_GTv3_21,0.134,0.287,0.449
20_points_GTv3_85,0.127,0.243,0.367
25_points_GTv3_09,0.119,0.234,0.360
20_points_GTv3_88,0.118,0.283,0.411
20_points_GTv3_81,0.115,0.174,0.345
25_points_GTv3_93,0.103,0.198,0.467
20_points_GTv3_90,0.101,0.305,0.438
25_points_GTv3_04,0.084,0.197,0.249
25_points_GTv3_13,0.062,0.112,0.167
25_points_GTv3_87,0.061,0.135,0.193
20_points_GTv3_97,0.056,0.185,0.275
25_points_GTv3_39,0.030,0.057,0.138
20_points_GTv3_78,0.015,0.049,0.124
05_points_GTv3_99,0.000,0.001,0.200
