# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
25_points_GTv3_63,0.431,0.501,0.501
25_points_GTv3_06,0.429,0.511,0.511
25_points_GTv3_56,0.423,0.677,0.677
25_points_GTv3_38,0.417,0.573,0.607
25_points_GTv3_16,0.409,0.476,0.566
25_points_GTv3_19,0.406,0.492,0.540
25_points_GTv3_67,0.403,0.483,0.728
25_points_GTv3_53,0.403,0.575,0.718
25_points_GTv3_45,0.403,0.528,0.562
25_points_GTv3_99,0.400,0.655,0.802
20_points_GTv3_83,0.398,0.505,0.654
25_points_GTv3_25,0.397,0.461,0.633
20_points_GTv3_95,0.395,0.490,0.564
25_points_GTv3_76,0.390,0.473,0.599
25_points_GTv3_48,0.378,0.497,0.497
25_points_GTv3_28,0.378,0.516,0.516
25_points_GTv3_07,0.376,0.575,0.669
25_points_GTv3_68,0.373,0.441,0.471
25_points_GTv3_31,0.369,0.461,0.547
20_points_GTv3_96,0.369,0.494,0.695
20_points_GTv3_75,0.369,0.596,0.714
25_points_GTv3_01,0.367,0.515,0.515
25_points_GTv3_02,0.361,0.490,0.623
25_points_GTv3_92,0.360,0.556,0.556
25_points_GTv3_88,0.360,0.602,0.640
25_points_GTv3_29,0.360,0.448,0.529
20_points_GTv3_93,0.359,0.416,0.495
25_points_GTv3_58,0.357,0.428,0.428
25_points_GTv3_74,0.356,0.433,0.433
25_points_GTv3_81,0.356,0.455,0.495
25_points_GTv3_54,0.354,0.504,0.748
25_points_GTv3_51,0.347,0.527,0.530
25_points_GTv3_37,0.347,0.424,0.532
25_points_GTv3_47,0.344,0.439,0.439
25_points_GTv3_42,0.339,0.544,0.544
25_points_GTv3_85,0.338,0.474,0.678
20_points_GTv3_82,0.331,0.394,0.477
25_points_GTv3_98,0.321,0.422,0.531
25_points_GTv3_32,0.320,0.385,0.547
20_points_GTv3_92,0.317,0.408,0.597
20_points_GTv3_99,0.315,0.380,0.538
25_points_GTv3_55,0.310,0.397,0.498
25_points_GTv3_65,0.308,0.491,0.491
25_points_GTv3_77,0.306,0.420,0.453
20_points_GTv3_89,0.305,0.481,0.505
25_points_GTv3_43,0.303,0.536,0.536
25_points_GTv3_71,0.303,0.457,0.632
20_points_GTv3_91,0.301,0.379,0.557
25_points_GTv3_34,0.295,0.513,0.566
25_points_GTv3_41,0.294,0.461,0.513
20_points_GTv3_94,0.292,0.382,0.473
25_points_GTv3_97,0.286,0.442,0.442
25_points_GTv3_62,0.286,0.334,0.334
25_points_GTv3_64,0.286,0.404,0.614
20_points_GTv3_98,0.273,0.454,0.487
20_points_GTv3_87,0.273,0.431,0.498
25_points_GTv3_46,0.269,0.373,0.726
20_points_GTv3_86,0.268,0.485,0.585
25_points_GTv3_23,0.266,0.363,0.620
25_points_GTv3_08,0.251,0.358,0.437
20_points_GTv3_76,0.241,0.393,0.494
25_points_GTv3_11,0.237,0.351,0.422
25_points_GTv3_22,0.227,0.338,0.533
25_points_GTv3_72,0.225,0.333,0.394
25_points_GTv3_52,0.225,0.300,0.450
25_points_GTv3_82,0.223,0.359,0.433
25_points_GTv3_24,0.222,0.261,0.460
20_points_GTv3_80,0.221,0.396,0.598
25_points_GTv3_36,0.215,0.313,0.401
20_points_GTv3_85,0.209,0.271,0.423
25_points_GTv3_91,0.198,0.293,0.558
25_points_GTv3_14,0.189,0.337,0.561
